Date,Open,High,Low,Close,Adj Close,Volume
2015-02-02,80.080002,84.139999,79.489998,83.209999,71.886848,39035700
2015-02-09,83.050003,85.489998,82.239998,85.129997,73.545555,30254000
2015-02-16,84.860001,85.809998,82.209999,84.440002,72.949478,19250200
2015-02-23,83.900002,85.360001,82.889999,82.900002,71.619019,21135700
2015-03-02,82.900002,83.790001,79.550003,80.059998,69.165489,30344600
2015-03-09,80.169998,81.339996,78.190002,79.230003,68.448441,25067900
2015-03-16,79.570000,81.440002,78.250000,81.190002,70.141724,36178500
2015-03-23,81.190002,81.919998,78.760002,79.669998,68.828560,24058300
2015-03-30,80.010002,81.519997,79.389999,80.239998,69.320999,17464800
2015-04-06,80.349998,82.800003,79.919998,82.599998,71.359856,23341700
2015-04-13,82.599998,85.730003,81.540001,83.279999,71.947327,31832100
2015-04-20,83.959999,87.500000,83.089996,84.599998,73.693443,40823900
2015-04-27,84.769997,88.279999,84.400002,87.370003,76.106346,28980500
2015-05-04,87.730003,88.220001,85.889999,87.309998,76.054085,19312800
2015-05-11,88.400002,89.589996,87.260002,88.430000,77.029694,20560700
2015-05-18,88.389999,89.620003,86.510002,88.629997,77.203896,24232000
2015-05-25,88.129997,88.820000,85.110001,85.320000,74.320610,18243400
2015-06-01,86.059998,87.059998,84.699997,86.050003,74.956505,17340300
2015-06-08,85.800003,88.760002,85.779999,87.849998,76.524445,17091900
2015-06-15,87.139999,87.959999,86.239998,87.519997,76.237007,16302300
2015-06-22,87.970001,88.809998,85.809998,86.820000,75.627243,17227600
2015-06-29,86.220001,86.739998,83.540001,84.379997,73.501793,16703600
2015-07-06,83.650002,84.150002,81.459999,82.150002,71.559303,22479400
2015-07-13,82.870003,84.889999,82.680000,83.160004,72.439102,18305400
2015-07-20,83.059998,83.290001,75.849998,76.099998,66.901360,42249800
2015-07-27,75.180000,79.040001,74.769997,78.629997,69.125549,53353200
2015-08-03,78.419998,78.430000,76.180000,77.290001,67.947510,30308300
2015-08-10,78.040001,80.309998,76.919998,78.489998,69.002472,34360200
